Hidden_Units,Layers_Num,Out_Dir,Train_Loss,Test_Loss
256,2,Model07,3.924396641114179,4.651592063903808
128,2,Model04,4.5775664834415215,4.834388542175293
256,3,Model08,4.007351061877082,4.869989967346191
256,4,Model09,4.1073004077462585,4.890456962585449
128,3,Model05,4.6815096630769615,4.965313720703125
128,4,Model06,4.775018832262824,5.042003536224366
64,2,Model01,5.099187822902904,5.1964093208312985
64,3,Model02,5.220237030702479,5.300431156158448
64,4,Model03,5.405514324412627,5.511551856994629
