Nh1,Nh2,Optimizer,Val_Loss
280,121,Adam,0.03027381525898818
398,361,Adam,0.031036264883732657
398,225,Adam,0.03204037054165383
280,289,Adam,0.03248031128605362
173,400,Adam,0.03249753053314634
398,121,Adam,0.032945592825853964
376,169,Adam,0.032953896959952544
256,121,Adam,0.03319108492141822
280,196,Adam,0.03368042469228385
339,169,Adam,0.033693965175916676
339,121,Adam,0.033715136430691926
376,324,Adam,0.03372513793219696
339,225,Adam,0.03392820826120442
256,225,Adam,0.03455934691446601
376,121,Adam,0.03460739507863764
361,144,Adam,0.03472322620509658
361,169,Adam,0.035122389109164945
339,324,Adam,0.0351441020538914
361,289,Adam,0.03544414816642529
339,361,Adam,0.03555637877361732
398,196,Adam,0.03571028207443305
122,169,Adam,0.035825812639086504
173,225,Adam,0.03602516897226451
376,225,Adam,0.03611754215526162
309,144,Adam,0.036302299492672316
173,361,Adam,0.036476925563329134
339,196,Adam,0.0365157823820482
376,144,Adam,0.03653184323775349
361,121,Adam,0.036618760244891746
173,169,Adam,0.03662672947830288
280,400,Adam,0.03667959646700183
339,144,Adam,0.03671559691792936
256,196,Adam,0.036779744672821836
173,256,Adam,0.036929389851138694
256,169,Adam,0.037096292014757636
256,144,Adam,0.03722176288283663
262,289,Adam,0.037236906646285206
262,144,Adam,0.03736023920791922
309,225,Adam,0.03747533626883524
309,256,Adam,0.03757776429556543
173,324,Adam,0.037698901926341934
398,169,Adam,0.0377750013693003
376,289,Adam,0.038035388383286774
398,144,Adam,0.038359462942753456
309,400,Adam,0.03837248780182563
256,324,Adam,0.038603475763375174
309,169,Adam,0.03868752676207805
280,225,Adam,0.03887042208807543
280,144,Adam,0.038870746293105184
122,361,Adam,0.038940044559421946
398,289,Adam,0.03904807460748998
262,400,Adam,0.03913924358130316
262,121,Adam,0.03917847988777794
398,324,Adam,0.03921864335243299
309,289,Adam,0.0392585050976777
361,361,Adam,0.0392965783157706
262,196,Adam,0.039543729933939176
361,225,Adam,0.03956638300442137
309,196,Adam,0.039682998321950436
361,400,Adam,0.039685167911193274
262,256,Adam,0.03994821033702465
262,169,Adam,0.039951687342545485
280,324,Adam,0.040067765635467364
262,324,Adam,0.04009559879777953
280,256,Adam,0.040287339405767855
376,361,Adam,0.04049187371965672
361,324,Adam,0.040567740362894254
122,256,Adam,0.04065166929503903
280,169,Adam,0.04066729386104271
376,196,Adam,0.040711974645819285
398,400,Adam,0.04080534679105767
262,225,Adam,0.04086297660905984
339,256,Adam,0.0409199002016976
361,256,Adam,0.04094164266789448
376,256,Adam,0.04102800011423824
398,256,Adam,0.041115355535293927
339,289,Adam,0.0411798622495553
256,361,Adam,0.04145901717492961
262,361,Adam,0.041545387529185976
122,196,Adam,0.04194772845658008
309,121,Adam,0.04197660636273213
122,225,Adam,0.04208571768249385
256,256,Adam,0.042204274381219875
256,289,Adam,0.04226989571470767
122,121,Adam,0.04252068892528769
256,400,Adam,0.042697819614841134
309,324,Adam,0.04336865236400626
280,361,Adam,0.04339736238180194
122,144,Adam,0.04353903689770959
309,361,Adam,0.043733938911464064
173,196,Adam,0.04384512837859802
339,400,Adam,0.04393053019666695
173,144,Adam,0.04407699271832825
122,289,Adam,0.044260560994734986
173,289,Adam,0.044646225299220535
376,400,Adam,0.044687392210471445
173,121,Adam,0.044876436241611375
361,196,Adam,0.045508036584215004
122,400,Adam,0.046447505311516576
122,324,Adam,0.04856536576480721
398,121,RMSprop,0.1297616183757782
122,144,RMSprop,0.1321214869618416
376,144,RMSprop,0.13522883653640747
339,144,RMSprop,0.13978463262319565
280,169,RMSprop,0.14146714359521867
256,289,RMSprop,0.14282880276441573
361,196,RMSprop,0.1431581124663353
361,121,RMSprop,0.14579796344041823
309,289,RMSprop,0.15028823614120485
376,196,RMSprop,0.1503619968891144
339,196,RMSprop,0.1536373868584633
339,121,RMSprop,0.1561538577079773
256,121,RMSprop,0.15639399737119675
262,256,RMSprop,0.1564825601875782
398,324,RMSprop,0.15758984833955764
376,121,RMSprop,0.15809524208307266
280,144,RMSprop,0.15812470614910126
280,121,RMSprop,0.15869978964328765
262,196,RMSprop,0.15916995704174042
398,169,RMSprop,0.16056814789772034
122,196,RMSprop,0.1611500561237335
262,144,RMSprop,0.16165652573108674
173,121,RMSprop,0.16225623786449433
309,225,RMSprop,0.16247368603944778
256,225,RMSprop,0.16331200897693635
256,361,RMSprop,0.16334747076034545
309,361,RMSprop,0.1639412075281143
173,289,RMSprop,0.16397469937801362
